id,title,date,location,fights
421ccfc6ddb17958,UFC 319: Du Plessis vs. Chimaev,"August 16, 2025","Chicago, Illinois, USA","['12cedec11b37ddc0', '9fa6a029f7f8241c', '42585ce706c086de', '9939d7073462e07e', '82338ba457fbe87f', '5efd13a12be06706', '5b880d10b0ed7acc', 'a2eafd9e1d5031b1', '1d8dc0fb5d47357f', 'bc63f1b2e52f603e', '88020d22cf905792', '68c423c7119004f3']"
6cd3dfc54f01287f,UFC Fight Night: Dolidze vs. Hernandez,"August 09, 2025","Las Vegas, Nevada, USA","['68fe62bac7fd8bb0', '37d58369782cb86b', '646c79a7ecd12e5f', '98d6771af9b0ebe5', 'ed5383b50ffcdded', '75a84211f50c53f5', '3d6571790c21527c', 'ae7a8f19743e8154', 'aef44145740741b3', '7d923267c44dd93b', '6ef50ed03b116b60', '857e8facd8ff7c36']"
f2c934689243fe4e,UFC Fight Night: Taira vs. Park,"August 02, 2025","Las Vegas, Nevada, USA","['282c8c6c1ed82bfb', '426a69e343822ab3', '878941394f9e3538', 'c62ed8a6002b5360', 'ac57250e3de89d5d', '111e66eb922449e4', 'eeeffa7f514e0c0e', '45781930d64da456', 'b3c695728e177fd4', '07c2af68b6dbc4ec', 'b47db03affb279c3', 'd98d6b2c13557a87']"
28d8638ea0a71908,UFC Fight Night: Whittaker vs. De Ridder,"July 26, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates","['6b8be0ee3e569ad2', 'd4d4ee045b0ca695', '582d66ce97309e29', '887c61da1a78a5e1', '77f960d82cda0b76', 'e72c691b7c68b03a', '7c075e3383198e14', '017a825c7820d12e', '3e6067763978d862', 'f9dac7702609669f', '23ddf51ce630028d', '0a598768f5c8d540']"
b8e2f10efb6eca85,UFC 318: Holloway vs. Poirier 3,"July 19, 2025","New Orleans, Louisiana, USA","['d7507e2741fd4d05', '23c963be9de38205', '5dde61734080ac4a', 'acc961fd5cf5c62e', 'a95b03e9b5a91e47', 'd2cb92fdf6a497e9', '8e1feda9141602f1', 'df2ed8b509fbdbdc', '72e477b41f44e358', '37bc72d5d211b189', '798652dbea086910', '182ee320edb1b5ed', '74099d470e8d2765', 'a602c68147b752b2']"
7b03d9df5910917d,UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025","Nashville, Tennessee, USA","['0adfc21045c02555', '2a03bc4c491b4c9a', 'f368475c366c6d85', '4e5d4a36eaaa3a78', '4b75d3b7738cb278', 'b19bf99c7eb796bc', '236f811290163dca', 'd5e3be7a07c48b08', '46bc1338a50cbeac', '5c650ae2193ab1bc', '7f33fbdc35afd721', '120d66cb0da0f3c3']"
66766984842c13dc,UFC 317: Topuria vs. Oliveira,"June 28, 2025","Las Vegas, Nevada, USA","['7a64d63e12618ba7', '8308464729ea7c40', 'f722b96ae6862843', '1ea9ad3b6e1cba79', 'f6a3c78f15ff26c7', '958522de54ccc536', '2f523b757f7f33a2', '815ff62ca8e217be', 'd7be78c400e7e0f9', '9bff9fe298e63357', '043172689e415438']"
400c7b43c86d27d3,UFC Fight Night: Hill vs. Rountree Jr.,"June 21, 2025","Baku, Azerbaijan","['03bc32bdb5a33496', 'a1afc16e21d1a807', '8e5744c664fec3e9', '36ec204f47e4d613', '7513a00037094075', '19764211af05674c', 'e512b80bbaea36c2', '5fcf18bcd2a020f1', 'fff3218758c513b8', '2bfc0212f2cae65b', '8c140756bf43dcc2', 'a12d3a6c8aaf87ca']"
de277a4abcfeea46,UFC Fight Night: Usman vs. Buckley,"June 14, 2025","Atlanta, Georgia, USA","['d75b3d3c2b209b75', '79dfbbdd14fbbd11', 'e5bd7e6e2a50a843', '1714950933f88ab9', '08c04f18b0f58d71', 'ec2034b134ae71cd', '13e2ff8b3a122094', 'e861e9cc0118c670', 'f6454f2e508626ec', 'b39b8ff0d7de211a', '59c4fdb3c0673066', '2ae7404681deb3b3', 'ab325ea526824723']"
18c49685296c60e6,UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025","Newark, New Jersey, USA","['e61d83e4e1f9c4d7', '81b84b34f0357fa5', 'e28e829800466aca', 'df5dac45fc585fb0', '2129acab2280bd29', 'b6a87389bdc36a00', '01100a90b584215d', 'ac977a0389682124', 'f0488a4486a64af0', 'd078e9046aa86307', '9f4a0de31375ba04', '2e4064e0e6d4d92e', '0e8599eca8ccfa32']"
2a898bf9fb7710b3,UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025","Las Vegas, Nevada, USA","['212527d462690304', '305d8c85b35a7d4e', '7aaa810540132a4b', '106918bfbe24335d', 'ad68450307a21ab1', 'baa2ee0bf7f97079', '2521fed000747f47', 'ae89ba793121fe0c', '73240bea13ed5e71']"
8ad022dd81224f61,UFC Fight Night: Burns vs. Morales,"May 17, 2025","Las Vegas, Nevada, USA","['a81ad236a2f221f2', 'dcb27eef6441268c', 'b3044bf646306e7f', 'fe2acfdaaaec3dba', 'a9a6cca4bbf7a5db', '8ba31cf0b3164b72', 'd6e2bc6e6c0cc4fe', 'f75fe8b384b0db11', '66887532be2de5ee', '18a7dc86279066f8', 'afdd95ae7b7cdb0c']"
118463dd8db16e7f,UFC 315: Muhammad vs. Della Maddalena,"May 10, 2025","Montreal, Quebec, Canada","['b873c116e39c9920', '9e9d1764a015f313', '891b2faf1bff38ee', '0f53eb509d0ffeb9', 'c7190cd03e53fb61', '2521234a4bf7c615', '4db2d86ebe8c8abd', 'c812457a810dde39', '99aa1f28e22bb6dd', '6ecfa439ef900bcc', '0e0a4282cd6c86d7', 'c20bd12ae7f04eff']"
